	0	0	0	0	0	0	0	0	0	9
	0	0	0	0	0	0	0	0	10	-6
	0	0	0	0	0	0	0	6	-6	7
	0	0	0	0	0	0	13	-9	12	-10
	0	0	0	0	0	11	-9	10	-9	10
	0	0	0	0	8	-10	12	-6	13	-7
	0	0	0	10	-9	13	-12	9	-6	25
	0	0	6	-11	12	-11	10	-10	26	-15
	0	7	-13	6	-11	8	-9	18	-12	12
3	7	-6	10	-12	9	-11	19	-27	25	-8
2	-7	6	-8	10	-7	14	-21	15	-13	13
3	11	-9	9	-11	16	-19	18	-12	8	-10
2	-6	11	-12	26	-22	23	-13	11	-7	22
3	13	-13	19	-24	20	-12	8	-8	26	-9
2	-7	23	-21	23	-8	7	-12	20	-7	6
4	20	-25	16	-6	10	-11	14	-6	8	-9
1	-22	19	-12	9	-6	25	-12	13	-6	17
4	20	-7	9	-8	19	-11	8	-11	26	-16
2	-13	6	-11	20	-10	13	-11	13	-24	21
3	6	-6	18	-10	13	-9	12	-26	20	-8
2	-13	18	-12	6	-6	20	-20	25	-7	8
4	13	-12	7	-11	19	-18	21	-9	11	-8
2	-7	9	-9	12	-25	22	-10	6	-13	9
3	10	-10	13	-19	17	-12	7	-13	6	-13
2	-8	19	-19	20	-12	10	-11	8	-7	6
4	24	-24	25	-7	6	-9	10	-9	8	-7
1	-14	13	-6	11	-10	8	-9	13	-11	8
4	19	-9	6	-6	6	-11	11	-8	9	-23
2	-10	9	-8	9	-12	6	-6	8	-13	9
3	9	-12	10	-6	7	-7	8	-23	13	-13
2	-6	7	-8	7	-13	10	-14	7	-8	9
3	11	-13	6	-7	6	-27	10	-10	10	-97
2	-7	10	-13	8	-25	13	-13	13	-114	10
3	12	-10	13	-23	8	-9	6	-73	13	-6
2	-13	13	-27	8	-8	12	-100	6	-13	9
3	13	-20	6	-12	8	-138	8	-8	6	-13
1	-23	12	-10	8	-105	12	-8	7	-9	17
3	7	-11	11	-135	13	-7	6	-7	25	-7
2	-13	12	-112	13	-10	8	-6	21	-8	23
3	10	-118	11	-10	10	-13	27	-11	14	-11
0	-110	13	-8	11	-7	16	-9	23	-8	12
3	7	-7	8	-11	27	-11	15	-6	17	-17
2	-13	13	-6	12	-10	27	-13	23	-13	20
3	10	-9	12	-9	20	-12	15	-17	12	-11
2	-7	21	-9	12	-13	13	-21	27	-7	21
4	13	-12	23	-11	16	-20	24	-12	27	-26
2	-6	27	-10	15	-26	24	-12	16	-19	22
4	21	-12	26	-20	20	-8	24	-16	23	-10
2	-7	16	-18	14	-8	22	-20	21	-13	10
4	24	-13	12	-8	27	-26	26	-6	10	-8
1	-15	22	-11	21	-23	27	-9	13	-13	12
4	25	-13	13	-26	22	-7	6	-10	6	-6
2	-7	21	-27	12	-11	11	-12	7	-7	7
4	27	-15	24	-7	12	-13	7	-9	10	-27
1	-12	16	-8	9	-6	13	-6	7	-22	13
4	22	-7	7	-10	8	-9	7	-21	23	-12
2	-10	7	-12	10	-6	6	-24	25	-9	7
3	8	-13	11	-6	11	-24	23	-13	10	-11
2	-7	12	-9	7	-22	13	-10	6	-9	27
3	7	-7	6	-19	24	-8	6	-10	27	-6
2	-13	10	-27	23	-13	10	-10	23	-7	11
3	10	-14	13	-13	6	-10	18	-9	8	-132
