	2	3	2	2	2	2	1	3	2	13
	3	2	2	2	3	3	1	2	13	-6
	3	1	3	2	2	3	1	12	-6	11
	2	2	2	3	3	1	12	-6	11	-5
	2	3	2	1	2	13	-5	13	-4	11
	2	1	3	3	13	-5	11	-5	12	-5
	1	2	3	12	-4	13	-5	12	-6	11
	3	1	12	-4	13	-6	11	-6	13	-6
	3	12	-4	12	-5	11	-5	13	-4	6
4	11	-5	12	-4	12	-6	11	-5	6	-5
2	-4	11	-6	13	-6	12	-5	7	-6	6
4	11	-5	12	-5	12	-5	6	-5	8	-6
2	-6	12	-5	13	-4	7	-5	6	-4	11
4	12	-6	11	-6	7	-5	6	-6	11	-4
2	-6	11	-6	8	-5	6	-5	11	-6	6
4	11	-4	6	-6	6	-5	12	-6	6	-6
2	-6	6	-6	6	-4	11	-6	6	-6	6
3	7	-6	7	-5	11	-4	7	-6	7	-5
2	-6	6	-5	13	-5	7	-4	8	-6	13
3	7	-6	11	-6	7	-6	8	-5	12	-6
2	-6	11	-4	8	-6	6	-5	12	-5	11
4	12	-6	8	-4	7	-4	13	-6	12	-5
2	-4	7	-6	8	-6	12	-4	13	-4	8
3	8	-5	7	-6	11	-4	12	-4	8	-4
2	-5	7	-6	13	-4	12	-4	8	-4	7
3	8	-4	13	-6	12	-6	7	-4	6	-4
2	-4	13	-5	12	-5	8	-6	7	-5	7
4	13	-4	13	-6	8	-4	6	-5	6	-4
2	-5	12	-5	7	-4	8	-6	8	-6	6
4	11	-6	8	-4	7	-5	6	-4	7	-4
2	-4	6	-4	6	-4	6	-6	8	-4	11
3	7	-4	7	-6	7	-5	7	-4	12	-5
2	-4	8	-5	6	-4	8	-5	12	-6	11
3	8	-6	7	-4	6	-5	13	-5	12	-6
2	-6	8	-6	7	-5	13	-5	12	-4	11
3	8	-5	8	-4	12	-5	12	-6	11	-6
2	-6	7	-6	12	-5	13	-4	13	-5	7
3	7	-4	13	-5	12	-4	11	-6	8	-6
2	-4	13	-6	11	-5	11	-4	8	-5	6
